Data,Period,Organisation unit,Value
t33qItEEF1p,201406,RPNI2yciVPb,24.0
t33qItEEF1p,201406,HiSkD51XNEw,76.7
t33qItEEF1p,201406,La4FiUTG0Ed,143.8
t33qItEEF1p,201406,mC4qkTGiah3,83.8
t33qItEEF1p,201406,R6tG0IzAhpv,115.0
t33qItEEF1p,201406,kfyFrKOKqnz,27.5
t33qItEEF1p,201406,SiFad15yKhZ,102.2
t33qItEEF1p,201406,q6NwSRm7CoV,27.5
t33qItEEF1p,201406,R5DowWkZPmm,0.0
t33qItEEF1p,201406,UdcrfRV5diV,45.0
t33qItEEF1p,201406,wPQb02U3UHx,18.3
t33qItEEF1p,201406,SfTrvW441Q0,118.8
t33qItEEF1p,201406,LT6XGXS57II,48.6
t33qItEEF1p,201406,rKoTTNZLKaN,68.3
t33qItEEF1p,201406,TleFOlpaRAp,111.7
t33qItEEF1p,201406,ge7aE8co40H,75.0
t33qItEEF1p,201406,QsbKIv43xwM,105.0
t33qItEEF1p,201406,YTgby61ISnd,108.3
t33qItEEF1p,201406,FSrkhOVFdOk,52.5
t33qItEEF1p,201406,BwF2JaC8lCL,13.8
t33qItEEF1p,201406,wgWlZhxXfS5,44.0
t33qItEEF1p,201406,tU13hbRnCGc,0.0
t33qItEEF1p,201406,KysFcG0IQYZ,100.0
t33qItEEF1p,201406,SKJI5xtKLmd,80.0
t33qItEEF1p,201406,VI8FnbLBPDD,80.0
t33qItEEF1p,201406,Udaaomim77o,40.0
t33qItEEF1p,201406,ClfJQm3Docv,122.0
t33qItEEF1p,201406,ovxDVLEpRgk,40.0
t33qItEEF1p,201406,XNmQ1GcM53S,24.0
t33qItEEF1p,201406,r7pU4IuyIJF,105.0
t33qItEEF1p,201406,oiQrJMqWJQ6,59.4
t33qItEEF1p,201406,JPl6BiRGUjp,52.9
t33qItEEF1p,201406,zi9hv7KzZVp,35.0
t33qItEEF1p,201406,FVZSGQeGAWy,56.3
t33qItEEF1p,201406,uAmB8MLWUbq,110.0
t33qItEEF1p,201406,uECirbmK3vj,140.0
t33qItEEF1p,201406,zQdh7P5efBl,55.0
t33qItEEF1p,201406,zqmymbY6VTU,41.7
t33qItEEF1p,201406,kKYdOJ0uRod,56.3
t33qItEEF1p,201406,xpXgPL892GT,41.7
t33qItEEF1p,201406,yeGUcHoOF0W,119.0
t33qItEEF1p,201406,JpOeRsaZHoG,97.0
t33qItEEF1p,201406,JWdMKPTg0HL,65.0
t33qItEEF1p,201406,yrxkpEWxooc,63.8
t33qItEEF1p,201406,gCRidS1x9ty,144.2
t33qItEEF1p,201406,ZqmBdrwI59g,111.3
t33qItEEF1p,201406,cLBvS1WGEQF,116.0
t33qItEEF1p,201406,iSzLcFdtWbX,0.0
t33qItEEF1p,201406,iE17KE2PvJf,118.3
t33qItEEF1p,201406,ZwfQDUAuF1E,10.0
t33qItEEF1p,201406,jqLcZtIyJim,110.0
t33qItEEF1p,201406,dU7dDBWWWDi,79.0
t33qItEEF1p,201406,FX5DGY6VxPS,107.5
t33qItEEF1p,201406,PoAHq41Wjsk,48.9
t33qItEEF1p,201406,mrRGRJwEwUm,0.0
t33qItEEF1p,201406,d23ZMyDAOEE,100.0
t33qItEEF1p,201406,ldTs7l4tu6V,72.0
t33qItEEF1p,201406,MEAv0YmXK3C,0.0
t33qItEEF1p,201406,bArGQMJx5Vs,66.0
t33qItEEF1p,201406,Wl8S53qfNST,48.0
t33qItEEF1p,201406,kAyEVYlTCtX,76.7
t33qItEEF1p,201406,lqUH9qJYc2r,135.0
t33qItEEF1p,201406,jLbIZHuRAYh,13.8
t33qItEEF1p,201407,xuVsQTby6uM,73.3
t33qItEEF1p,201407,e9NLyDiExlF,103.0
t33qItEEF1p,201407,CXAJP0JoCDZ,93.8
t33qItEEF1p,201407,IKdUHYliWr5,-22.7
t33qItEEF1p,201407,RUBAdXhzucO,84.0
t33qItEEF1p,201407,fS76SN2mDYs,68.6
