Data,Period,Organisation unit,Value
g2ZhqF3DKMx,201702,kKYdOJ0uRod,120.0
g2ZhqF3DKMx,201411,d23ZMyDAOEE,17.0
BkGKNzv3Vn6,201401,ovxDVLEpRgk,10.0
AMVejJGpKI9,201811,zQdh7P5efBl,10.0
Gk6WlfVitbC,201411,yrxkpEWxooc,40.0
Gk6WlfVitbC,201706,lqUH9qJYc2r,140.0
mRVVnw1KKSL,201610,FSrkhOVFdOk,80.0
oACe0uiAmnT,201402,RyzLT9D4nQ6,243.0
XkemTADiLv4,201807,XNmQ1GcM53S,40.0
Gk6WlfVitbC,201703,jLbIZHuRAYh,40.0
odmSZSezPsY,201509,e9NLyDiExlF,74.0
VRD05emEwOF,201801,FX5DGY6VxPS,16.0
AMVejJGpKI9,201710,ZY5zTLYR53q,60.0
vOaRpiWvl2K,201705,JpOeRsaZHoG,55.0
kuxcnLoB85c,201804,d23ZMyDAOEE,50.0
OKXUzudHulV,201806,ikFfiR1TblB,172.0
VRD05emEwOF,201711,ZY5zTLYR53q,22.0
XkemTADiLv4,201806,zqmymbY6VTU,40.0
Gk6WlfVitbC,201405,FX5DGY6VxPS,40.0
smag5V5gz0s,201804,H7UhEhDlhvD,20.0
AMVejJGpKI9,201706,PoAHq41Wjsk,50.0
XkemTADiLv4,201506,RyzLT9D4nQ6,10.0
OKXUzudHulV,201706,IKdUHYliWr5,66.0
vOaRpiWvl2K,201806,DHJTFwnlEdw,160.0
VRD05emEwOF,201607,NBZfDf5Rag9,24.0
whXQzFlRT37,201611,La4FiUTG0Ed,99.0
oACe0uiAmnT,201810,DHJTFwnlEdw,400.0
iIlheePZjCc,201703,zqmymbY6VTU,60.0
HIfJ6JvWQmQ,201603,d23ZMyDAOEE,25.0
OKXUzudHulV,201505,SKJI5xtKLmd,13.0
kuxcnLoB85c,201404,NBZfDf5Rag9,28.0
smag5V5gz0s,201807,VI8FnbLBPDD,60.0
oACe0uiAmnT,201503,NBZfDf5Rag9,36.0
Gk6WlfVitbC,201806,MQ4km4gi9bz,40.0
Gk6WlfVitbC,201707,fS76SN2mDYs,180.0
vOaRpiWvl2K,201510,r7pU4IuyIJF,5.0
smag5V5gz0s,201409,IrqA2mEn7lI,40.0
oACe0uiAmnT,201703,Udaaomim77o,435.0
